,k,accuracy,model,epoch
747,16,58.38,hopfield,47
748,16,58.35,hopfield,48
749,16,57.94,hopfield,49
750,16,57.86,hopfield,50
751,16,58.35,hopfield,51
752,16,58.38,hopfield,52
753,16,58.86,hopfield,53
754,16,58.39,hopfield,54
755,16,58.49,hopfield,55
756,16,59.2,hopfield,56
757,16,58.18,hopfield,57
758,16,58.7,hopfield,58
759,16,58.26,hopfield,59
760,16,57.71,hopfield,60
761,16,58.69,hopfield,61
762,16,58.59,hopfield,62
763,16,58.66,hopfield,63
764,16,58.35,hopfield,64
765,16,58.48,hopfield,65
766,16,58.5,hopfield,66
767,16,58.01,hopfield,67
768,16,58.1,hopfield,68
769,16,58.32,hopfield,69
770,16,57.59,hopfield,70
771,16,58.04,hopfield,71
772,16,59.3,hopfield,72
773,16,58.64,hopfield,73
774,16,57.67,hopfield,74
775,16,58.14,hopfield,75
776,16,57.31,hopfield,76
777,16,58.22,hopfield,77
778,16,58.53,hopfield,78
779,16,58.88,hopfield,79
780,16,58.22,hopfield,80
781,16,57.93,hopfield,81
782,16,57.75,hopfield,82
783,16,58.18,hopfield,83
784,16,58.08,hopfield,84
785,16,58.81,hopfield,85
786,16,57.51,hopfield,86
787,16,58.13,hopfield,87
788,16,57.69,hopfield,88
789,16,58.33,hopfield,89
790,16,58.82,hopfield,90
791,16,57.99,hopfield,91
792,16,57.46,hopfield,92
793,16,58.04,hopfield,93
794,16,58.4,hopfield,94
795,16,58.26,hopfield,95
796,16,57.52,hopfield,96
797,16,58.17,hopfield,97
798,16,58.18,hopfield,98
799,16,58.44,hopfield,99
