,k,accuracy,model,epoch
714,16,97.68,hopfield,14
715,16,97.48,hopfield,15
716,16,97.53,hopfield,16
717,16,97.44,hopfield,17
718,16,97.86,hopfield,18
719,16,97.7,hopfield,19
720,16,97.66,hopfield,20
721,16,97.7,hopfield,21
722,16,97.77,hopfield,22
723,16,98.05,hopfield,23
724,16,97.71,hopfield,24
725,16,97.23,hopfield,25
726,16,97.87,hopfield,26
727,16,97.63,hopfield,27
728,16,97.73,hopfield,28
729,16,97.81,hopfield,29
730,16,97.28,hopfield,30
731,16,97.87,hopfield,31
732,16,97.76,hopfield,32
733,16,97.43,hopfield,33
734,16,97.86,hopfield,34
735,16,97.9,hopfield,35
736,16,97.62,hopfield,36
737,16,97.71,hopfield,37
738,16,97.88,hopfield,38
739,16,97.93,hopfield,39
740,16,97.56,hopfield,40
741,16,97.43,hopfield,41
742,16,97.78,hopfield,42
743,16,97.99,hopfield,43
744,16,98.0,hopfield,44
745,16,97.2,hopfield,45
746,16,97.25,hopfield,46
747,16,97.98,hopfield,47
748,16,97.85,hopfield,48
749,16,97.61,hopfield,49
750,16,97.25,hopfield,50
751,16,97.66,hopfield,51
752,16,97.98,hopfield,52
753,16,97.92,hopfield,53
754,16,97.99,hopfield,54
755,16,97.91,hopfield,55
756,16,98.13,hopfield,56
757,16,97.83,hopfield,57
758,16,98.05,hopfield,58
759,16,97.96,hopfield,59
760,16,97.56,hopfield,60
761,16,97.95,hopfield,61
762,16,98.02,hopfield,62
763,16,98.01,hopfield,63
764,16,97.96,hopfield,64
765,16,97.86,hopfield,65
766,16,97.48,hopfield,66
767,16,98.13,hopfield,67
768,16,98.02,hopfield,68
769,16,97.81,hopfield,69
770,16,98.03,hopfield,70
771,16,98.12,hopfield,71
772,16,98.06,hopfield,72
773,16,97.77,hopfield,73
774,16,97.8,hopfield,74
775,16,97.99,hopfield,75
776,16,98.14,hopfield,76
777,16,97.72,hopfield,77
778,16,98.26,hopfield,78
779,16,97.79,hopfield,79
780,16,98.28,hopfield,80
781,16,98.12,hopfield,81
782,16,97.88,hopfield,82
783,16,98.16,hopfield,83
784,16,98.34,hopfield,84
785,16,98.42,hopfield,85
786,16,98.28,hopfield,86
787,16,98.44,hopfield,87
788,16,98.45,hopfield,88
789,16,98.48,hopfield,89
790,16,98.51,hopfield,90
791,16,98.51,hopfield,91
792,16,98.52,hopfield,92
793,16,98.52,hopfield,93
794,16,98.52,hopfield,94
795,16,98.51,hopfield,95
796,16,98.53,hopfield,96
797,16,98.52,hopfield,97
798,16,98.54,hopfield,98
799,16,98.54,hopfield,99
